Station;
Date;16.09.25
Time;21:55:41
Workpiece;
Tool;01
Application;02
Min. Total Angle;-3246
Max. Total Angle;13
Angle;Torque;Window ID
964,00;0,07
965,00;0,11
966,00;0,15
967,00;0,11
968,00;0,15
969,00;0,11
970,00;0,11
971,00;0,11
972,00;0,07
973,00;0,04
974,00;0,00
975,00;0,04
976,00;0,07
977,00;0,07
978,00;0,07
979,00;0,15
980,00;0,15
981,00;0,18
982,00;0,07
983,00;0,15
984,00;0,11
985,00;0,07
986,00;0,07
987,00;0,00
988,00;0,04
989,00;0,07
990,00;0,07
991,00;0,07
992,00;0,11
993,00;0,15
994,00;0,15
995,00;0,15
996,00;0,15
997,00;0,11
998,00;0,07
999,00;0,00
1000,00;0,04
1001,00;0,04
1002,00;0,07
1003,00;0,07
1004,00;0,11
1005,00;0,07
1006,00;0,18
1007,00;0,15
1008,00;0,18
1009,00;0,11
1010,00;0,04
1011,00;0,04
1012,00;0,07
1013,00;0,00
1014,00;-0,04
1015,00;0,07
1016,00;0,07
1017,00;0,11
1018,00;0,07
1019,00;0,11
1020,00;0,15
1021,00;0,11
1022,00;0,11
1023,00;0,11
1024,00;0,11
1025,00;0,04
1026,00;0,04
1027,00;-0,04
1028,00;0,00
1029,00;0,07
1030,00;0,07
1031,00;0,22
1032,00;0,18
1033,00;0,07
1034,00;0,11
1035,00;0,11
1036,00;0,11
1037,00;0,11
1038,00;0,11
1039,00;0,00
1040,00;0,00
1041,00;0,04
1042,00;0,00
1043,00;0,07
1044,00;0,11
1045,00;0,11
1046,00;0,11
1047,00;0,15
1048,00;0,15
1049,00;0,11
1050,00;0,04
1051,00;0,00
1052,00;0,04
1053,00;0,00
1054,00;-0,04
1055,00;0,18
1056,00;0,18
1057,00;0,11
1058,00;0,07
1059,00;0,11
1060,00;0,15
1061,00;0,15
1062,00;0,11
1063,00;0,00
1064,00;0,07
1065,00;-0,04
1066,00;-0,04
1067,00;-0,04
1068,00;0,04
1069,00;0,11
1070,00;0,11
1071,00;0,07
1072,00;0,15
1073,00;0,11
1074,00;0,11
1075,00;0,11
1076,00;0,04
1077,00;0,00
1078,00;0,00
1079,00;0,00
1080,00;0,00
1081,00;0,11
1082,00;0,07
1083,00;0,07
1084,00;0,11
1085,00;0,15
1086,00;0,15
1087,00;0,11
1088,00;0,11
1089,00;0,11
1090,00;0,15
1091,00;0,04
1092,00;-0,04
1093,00;0,00
1094,00;0,04
1095,00;0,07
1096,00;0,07
1097,00;0,07
1098,00;0,15
1099,00;0,15
1100,00;0,11
1101,00;0,11
1102,00;0,07
1103,00;0,04
1104,00;0,07
1105,00;0,00
1106,00;0,00
1107,00;0,07
1108,00;0,11
1109,00;0,11
1110,00;0,15
1111,00;0,11
1112,00;0,15
1113,00;0,15
1114,00;0,07
1115,00;0,07
1116,00;0,07
1117,00;0,00
1118,00;0,04
1119,00;0,04
1120,00;0,07
1121,00;0,04
1122,00;0,11
1123,00;0,15
1124,00;0,15
1125,00;0,15
1126,00;0,15
1127,00;0,18
1128,00;0,15
1129,00;0,04
1130,00;0,04
1131,00;-0,04
1132,00;0,07
1133,00;0,07
1134,00;0,04
1135,00;0,07
1136,00;0,15
1137,00;0,11
1138,00;0,11
1139,00;0,11
1140,00;0,11
1141,00;0,15
1142,00;0,07
1143,00;0,04
1144,00;0,00
1145,00;0,00
1146,00;0,04
1147,00;0,07
1148,00;0,07
1149,00;0,15
1150,00;0,18
1151,00;0,18
1152,00;0,18
1153,00;0,15
1154,00;0,11
1155,00;0,07
1156,00;0,07
1157,00;0,00
1158,00;0,04
1159,00;0,00
1160,00;0,11
1161,00;0,11
1162,00;0,15
1163,00;0,11
1164,00;0,11
1165,00;0,07
1166,00;0,15
1167,00;0,07
1168,00;0,04
1169,00;0,04
1170,00;0,00
1171,00;0,00
1172,00;0,00
1173,00;0,04
1174,00;0,11
1175,00;0,11
1176,00;0,18
1177,00;0,11
1178,00;0,15
1179,00;0,15
1180,00;0,11
1181,00;0,04
1182,00;0,04
1183,00;0,04
1184,00;0,00
1185,00;0,04
1186,00;0,04
1187,00;0,11
1188,00;0,07
1189,00;0,11
1190,00;0,11
1191,00;0,15
1192,00;0,07
1193,00;0,11
1194,00;0,11
1195,00;0,00
1196,00;0,04
1197,00;0,00
1198,00;0,00
1199,00;0,07
1200,00;0,11
1201,00;0,11
1202,00;0,11
1203,00;0,11
1204,00;0,15
1205,00;0,15
1206,00;0,07
1207,00;0,07
1208,00;0,07
1209,00;0,07
1210,00;0,04
1211,00;0,00
1212,00;0,04
1213,00;0,15
1214,00;0,15
1215,00;0,07
1216,00;0,07
1217,00;0,07
1218,00;0,15
1219,00;0,15
1220,00;0,15
1221,00;0,04
1222,00;0,00
1223,00;0,00
1224,00;0,00
1225,00;0,00
1226,00;0,07
1227,00;0,15
1228,00;0,15
1229,00;0,11
1230,00;0,11
1231,00;0,11
1232,00;0,11
1233,00;0,07
1234,00;0,11
1235,00;0,04
1236,00;0,00
1237,00;0,00
1238,00;0,00
1239,00;0,07
1240,00;0,07
1241,00;0,11
1242,00;0,15
1243,00;0,11
1244,00;0,11
1245,00;0,11
1246,00;0,11
1247,00;0,11
1248,00;0,00
1249,00;0,00
1250,00;-0,04
1251,00;0,00
1252,00;0,04
1253,00;0,11
1254,00;0,07
1255,00;0,11
1256,00;0,11
1257,00;0,15
1258,00;0,11
1259,00;0,11
1260,00;0,11
1261,00;0,04
1262,00;-0,04
1263,00;0,04
1264,00;0,07
1265,00;0,07
1266,00;0,11
1267,00;0,15
1268,00;0,15
1269,00;0,15
1270,00;0,15
1271,00;0,18
1272,00;0,15
1273,00;0,04
1274,00;0,04
1275,00;0,00
1276,00;0,00
1277,00;0,00
1278,00;0,07
1279,00;0,11
1280,00;0,11
1281,00;0,11
1282,00;0,11
1283,00;0,18
1284,00;0,18
1285,00;0,11
1286,00;0,07
1287,00;0,04
1288,00;0,00
1289,00;0,00
1290,00;0,00
1291,00;0,00
1292,00;0,07
1293,00;0,15
1294,00;0,15
1295,00;0,11
1296,00;0,15
1297,00;0,18
1298,00;0,11
1299,00;0,11
1300,00;0,07
1301,00;0,07
1302,00;0,00
1303,00;0,00
1304,00;0,00
1305,00;0,07
1306,00;0,11
1307,00;0,11
1308,00;0,11
1309,00;0,07
1310,00;0,15
1311,00;0,11
1312,00;0,11
1313,00;0,00
1314,00;0,00
1315,00;0,00
1316,00;0,04
1317,00;0,07
1318,00;0,07
1319,00;0,15
1320,00;0,15
1321,00;0,11
1322,00;0,11
1323,00;0,15
1324,00;0,11
1325,00;0,07
1326,00;0,04
1327,00;0,00
1328,00;0,00
1329,00;0,07
1330,00;0,04
1331,00;0,11
1332,00;0,11
1333,00;0,11
1334,00;0,15
1335,00;0,18
1336,00;0,11
1337,00;0,11
1338,00;0,07
1339,00;0,07
1340,00;0,04
1341,00;-0,07
1342,00;0,07
1343,00;0,11
1344,00;0,15
1345,00;0,07
1346,00;0,11
1347,00;0,15
1348,00;0,15
1349,00;0,11
1350,00;0,07
1351,00;0,07
1352,00;0,11
1353,00;0,07
1354,00;0,00
1355,00;0,00
1356,00;0,07
1357,00;0,07
1358,00;0,07
1359,00;0,11
1360,00;0,15
1361,00;0,15
1362,00;0,15
1363,00;0,15
1364,00;0,11
1365,00;0,04
1366,00;0,04
1367,00;0,07
1368,00;0,04
1369,00;0,04
1370,00;0,07
1371,00;0,15
1372,00;0,11
1373,00;0,15
1374,00;0,15
1375,00;0,15
1376,00;0,15
1377,00;0,11
1378,00;0,04
1379,00;0,00
1380,00;-0,04
1381,00;0,00
1382,00;0,07
1383,00;0,04
1384,00;0,07
1385,00;0,07
1386,00;0,15
1387,00;0,15
1388,00;0,15
1389,00;0,11
1390,00;0,07
1391,00;0,15
1392,00;0,11
1393,00;-0,04
1394,00;0,00
1395,00;0,00
1396,00;0,07
1397,00;0,11
1398,00;0,11
1399,00;0,15
1400,00;0,15
1401,00;0,11
1402,00;0,11
1403,00;0,07
1404,00;0,07
1405,00;0,00
1406,00;0,00
1407,00;0,00
1408,00;0,07
1409,00;0,11
1410,00;0,04
1411,00;0,11
1412,00;0,11
1413,00;0,11
1414,00;0,11
1415,00;0,18
1416,00;0,15
1417,00;0,11
1418,00;0,00
1419,00;0,00
1420,00;0,00
1421,00;0,04
1422,00;0,11
1423,00;0,11
1424,00;0,07
1425,00;0,15
1426,00;0,11
1427,00;0,11
1428,00;0,11
1429,00;0,15
1430,00;0,11
1431,00;0,00
1432,00;-0,04
1433,00;0,00
1434,00;0,00
1435,00;0,04
1436,00;0,04
1437,00;0,07
1438,00;0,15
1439,00;0,07
1440,00;0,18
1441,00;0,11
1442,00;0,11
1443,00;0,07
1444,00;0,04
1445,00;0,00
1446,00;0,00
1447,00;0,00
1448,00;0,04
1449,00;0,04
1450,00;0,11
1451,00;0,11
1452,00;0,11
1453,00;0,11
1454,00;0,15
1455,00;0,11
1456,00;0,11
1457,00;0,07
1458,00;0,04
1459,00;-0,07
1460,00;0,00
1461,00;0,00
1462,00;0,07
1463,00;0,11
1464,00;0,15
1465,00;0,11
1466,00;0,07
1467,00;0,11
1468,00;0,11
1469,00;0,04
1470,00;0,04
1471,00;0,00
1472,00;-0,04
1473,00;0,04
1474,00;0,00
1475,00;0,11
1476,00;0,07
1477,00;0,11
1478,00;0,07
1479,00;0,15
1480,00;0,15
1481,00;0,07
1482,00;0,07
1483,00;0,04
1484,00;0,00
1485,00;0,00
1486,00;-0,04
1487,00;0,04
1488,00;0,11
1489,00;0,07
1490,00;0,11
1491,00;0,11
1492,00;0,15
1493,00;0,15
1494,00;0,15
1495,00;0,07
1496,00;0,07
1497,00;0,00
1498,00;-0,04
1499,00;0,00
1500,00;0,00
1501,00;0,04
1502,00;0,11
1503,00;0,07
1504,00;0,07
1505,00;0,15
1506,00;0,15
1507,00;0,11
1508,00;0,15
1509,00;0,07
1510,00;0,04
1511,00;0,00
1512,00;0,04
1513,00;0,07
1514,00;0,07
1515,00;0,07
1516,00;0,11
1517,00;0,15
1518,00;0,11
1519,00;0,11
1520,00;0,15
1521,00;0,07
1522,00;0,11
1523,00;0,07
1524,00;-0,04
1525,00;0,00
1526,00;0,04
1527,00;0,04
1528,00;0,11
1529,00;0,11
1530,00;0,11
1531,00;0,15
1532,00;0,11
1533,00;0,15
1534,00;0,11
1535,00;0,15
1536,00;0,07
1537,00;-0,04
1538,00;0,00
1539,00;0,04
1540,00;0,00
1541,00;0,11
1542,00;0,15
1543,00;0,15
1544,00;0,15
1545,00;0,15
1546,00;0,11
1547,00;0,15
1548,00;0,04
1549,00;0,04
1550,00;0,00
1551,00;0,00
1552,00;0,00
1553,00;0,07
1554,00;0,07
1555,00;0,11
1556,00;0,11
1557,00;0,11
1558,00;0,11
1559,00;0,18
1560,00;0,18
1561,00;0,07
1562,00;0,04
1563,00;0,00
1564,00;0,00
1565,00;0,00
1566,00;0,04
1567,00;0,07
1568,00;0,07
1569,00;0,15
1570,00;0,07
1571,00;0,15
1572,00;0,15
1573,00;0,15
1574,00;0,11
1575,00;0,07
1576,00;0,04
1577,00;0,04
1578,00;0,00
1579,00;0,07
1580,00;0,04
1581,00;0,11
1582,00;0,11
1583,00;0,18
1584,00;0,18
1585,00;0,11
1586,00;0,11
1587,00;0,07
1588,00;0,11
1589,00;0,07
1590,00;0,00
1591,00;0,00
1592,00;0,04
1593,00;0,11
1594,00;0,11
1595,00;0,11
1596,00;0,11
1597,00;0,15
1598,00;0,15
1599,00;0,15
1600,00;0,07
1601,00;0,07
1602,00;0,07
1603,00;0,00
1604,00;0,00
1605,00;0,04
1606,00;0,07
1607,00;0,15
1608,00;0,11
1609,00;0,11
1610,00;0,15
1611,00;0,15
1612,00;0,11
1613,00;0,15
1614,00;0,07
1615,00;0,04
1616,00;0,00
1617,00;0,04
1618,00;0,04
1619,00;0,04
1620,00;0,15
1621,00;0,15
1622,00;0,15
1623,00;0,15
1624,00;0,15
1625,00;0,15
1626,00;0,07
